run_name,train_dataset,eval_dataset,smoke_test,model_name,train_size,num_epochs,effective_batch_size,max_seq_length,learning_rate,wall_clock_min,peak_cuda_memory_gb,throughput_examples_per_sec,trainable_params,train_loss_final,accuracy,f1_pos,f1_macro,precision_pos,recall_pos,eval_n_examples,eval_seconds,adapter_path,started_at,finished_at,git_head,hostname,slurm_job_id,train_jsonl_sha256,splits_manifest_sha256,label_str_0,label_str_1
qlora_beads_100,beads,beads,False,meta-llama/Llama-3.1-8B-Instruct,100,3.0,16,512,0.0002,0.466,12.973,10.73,41943040,2.0033292259488786,0.49911971830985913,0.6656874265569918,0.333720906260952,0.4991922455573506,0.9988245665589186,6816,181.248,outputs/qlora_beads_100/adapter,2026-05-16T21:06:17.900336+00:00,2026-05-16T21:06:45.859257+00:00,,g006,117767,09681c11a099daf959531acc743bdb74130104ada4ee9924ed27fa34182311f5,3013f0983d6fdc8a00f7bcc3dca15c09e2a33ae4c4cd227204d23653cf512c2d,non-biased,biased
qlora_beads_500,beads,beads,False,meta-llama/Llama-3.1-8B-Instruct,500,3.0,16,512,0.0002,2.082,14.571,12.006,41943040,1.4513912002245586,0.684419014084507,0.7110812625923438,0.6817084024291928,0.6548738248391885,0.7778430796356156,6816,178.514,outputs/qlora_beads_500/adapter,2026-05-16T21:06:18.011377+00:00,2026-05-16T21:08:22.944932+00:00,,g006,117768,5575a832ea4a9d93e7b31768cd6944e1e4d756423faa5ff6fc31114cbc20552c,3013f0983d6fdc8a00f7bcc3dca15c09e2a33ae4c4cd227204d23653cf512c2d,non-biased,biased
qlora_cajcodes_full,cajcodes,cajcodes,False,meta-llama/Llama-3.1-8B-Instruct,525,3.0,16,512,0.0002,2.016,10.327,13.022,41943040,0.37795286467581085,0.9696969696969697,0.9777777777777777,0.965079365079365,1.0,0.9565217391304348,66,1.267,outputs/qlora_cajcodes_full/adapter,2026-05-19T22:10:18.674018+00:00,2026-05-19T22:12:19.627674+00:00,,g002,119291,065854f3395cce161eca20cbcb66cbe85e91bc9a5c7039f66d752d0615365b67,55cd64b0638966c96ee101ddde4f257a1f04da187f9c03cfe4bcafde7ade9701,non-biased,biased
qlora_cajcodes_full__on__babe,cajcodes,babe,False,meta-llama/Llama-3.1-8B-Instruct,525,3.0,16,512,0.0002,2.016,10.327,13.022,41943040,0.37795286467581085,0.5883777239709443,0.7301587301587301,0.43140589569161,0.575,1.0,413,8.139,outputs/qlora_cajcodes_full/adapter,2026-05-19T22:10:18.674018+00:00,2026-05-19T22:12:19.627674+00:00,,g002,119291,065854f3395cce161eca20cbcb66cbe85e91bc9a5c7039f66d752d0615365b67,55cd64b0638966c96ee101ddde4f257a1f04da187f9c03cfe4bcafde7ade9701,non-biased,biased
qlora_cajcodes_full__on__beads,cajcodes,beads,False,meta-llama/Llama-3.1-8B-Instruct,525,3.0,16,512,0.0002,2.016,10.327,13.022,41943040,0.37795286467581085,0.4223884976525822,0.5741481882098431,0.33836199016145224,0.45429647381033894,0.7799000881575081,6816,183.304,outputs/qlora_cajcodes_full/adapter,2026-05-19T22:10:18.674018+00:00,2026-05-19T22:12:19.627674+00:00,,g002,119291,065854f3395cce161eca20cbcb66cbe85e91bc9a5c7039f66d752d0615365b67,55cd64b0638966c96ee101ddde4f257a1f04da187f9c03cfe4bcafde7ade9701,non-biased,biased
qlora_cajcodes_full__on__cajcodes,cajcodes,cajcodes,False,meta-llama/Llama-3.1-8B-Instruct,525,3.0,16,512,0.0002,2.016,10.327,13.022,41943040,0.37795286467581085,0.9696969696969697,0.9777777777777777,0.965079365079365,1.0,0.9565217391304348,66,1.37,outputs/qlora_cajcodes_full/adapter,2026-05-19T22:10:18.674018+00:00,2026-05-19T22:12:19.627674+00:00,,g002,119291,065854f3395cce161eca20cbcb66cbe85e91bc9a5c7039f66d752d0615365b67,55cd64b0638966c96ee101ddde4f257a1f04da187f9c03cfe4bcafde7ade9701,non-biased,biased
qlora_cajcodes_full__on__wnc,cajcodes,wnc,False,meta-llama/Llama-3.1-8B-Instruct,525,3.0,16,512,0.0002,2.016,10.327,13.022,41943040,0.37795286467581085,0.5571959061679196,0.6371799628942486,0.5345769687830138,0.5396605908233815,0.7777173913043478,11041,190.92,outputs/qlora_cajcodes_full/adapter,2026-05-19T22:10:18.674018+00:00,2026-05-19T22:12:19.627674+00:00,,g002,119291,065854f3395cce161eca20cbcb66cbe85e91bc9a5c7039f66d752d0615365b67,55cd64b0638966c96ee101ddde4f257a1f04da187f9c03cfe4bcafde7ade9701,non-biased,biased
qlora_beads_1k,beads,beads,False,meta-llama/Llama-3.1-8B-Instruct,1000,3.0,16,512,0.0002,4.059,14.571,12.317,41943040,1.3614814546373155,0.6980633802816901,0.7107925801011804,0.6974773213581409,0.6811203878265554,0.7431677931237144,6816,179.31,outputs/qlora_beads_1k/adapter,2026-05-16T21:06:18.165587+00:00,2026-05-16T21:10:21.731137+00:00,,g006,117769,d902613f66d5d9bf4689a355d5caae346f1db6c3046c087f99260708b22ff0c2,3013f0983d6fdc8a00f7bcc3dca15c09e2a33ae4c4cd227204d23653cf512c2d,non-biased,biased
qlora_babe_full,babe,babe,False,meta-llama/Llama-3.1-8B-Instruct,3296,3.0,16,512,0.0002,12.893,11.241,12.782,41943040,0.801743227301292,0.8668280871670703,0.8822269807280514,0.8645118190548335,0.869198312236287,0.8956521739130435,413,7.989,outputs/qlora_babe_full/adapter,2026-05-19T22:09:02.657562+00:00,2026-05-19T22:21:56.260678+00:00,,g003,119290,932f497a1d201852be72e08df5facc6c5d0149121467f9307386966c7b35355b,664be60ac01e7b47bb333c8c9c12a3dadad5f722338da2552375a580ce7c233d,non-biased,biased
qlora_babe_full__on__babe,babe,babe,False,meta-llama/Llama-3.1-8B-Instruct,3296,3.0,16,512,0.0002,12.893,11.241,12.782,41943040,0.801743227301292,0.8668280871670703,0.8822269807280514,0.8645118190548335,0.869198312236287,0.8956521739130435,413,8.336,outputs/qlora_babe_full/adapter,2026-05-19T22:09:02.657562+00:00,2026-05-19T22:21:56.260678+00:00,,g003,119290,932f497a1d201852be72e08df5facc6c5d0149121467f9307386966c7b35355b,664be60ac01e7b47bb333c8c9c12a3dadad5f722338da2552375a580ce7c233d,non-biased,biased
